index,Unnamed: 0,scale,paper size,drawing title,building number,building name,name,area_air,perimeter,area_total,area_wall,volume_air,volume_wall,surface_area_wall,surface_area_roof,building_num_from_path
104,4041,0.005,A1,A Floor,MC078,George Fox,George Fox MC078_0,1529.0000000000005,0,0,0.0,5313.2750000000015,0.0,0.0,0,MC078
105,4092,0.005,A1,B Floor,MC078,George Fox,George Fox MC078_1,1287.3999999999996,0,0,0.0,4473.714999999999,0.0,0.0,0,MC078
106,4142,0.005,A1,C Floor,MC078,George Fox,George Fox MC078_2,1207.6,0,0,0.0,4196.41,0.0,0.0,0,MC078
107,4228,0.005,A1,D Floor,MC078,George Fox,George Fox MC078_3,1207.6,0,0,0.0,4196.41,0.0,0.0,0,MC078
108,4314,0.005,A1,"

A Floor",AP001-11,Graduate College,Graduate College AP001-AP011_0,2820.800000000001,0,0,0.0,0.0,0.0,0.0,0,AP001-AP011
109,4488,0.005,A1,A Floor,MC031,Great Hall,Great Hall MC031_0,4965.369999999998,0,0,0.0,24429.62039999999,0.0,0.0,0,MC031
110,4576,0.005,A1,B Floor,MC031,Great Hall,Great Hall MC031_1,1106.69,0,0,0.0,5444.9148000000005,0.0,0.0,0,MC031
111,4604,-1,A3,LG Floor,MC198,Grizedale College,Grizedale MC198_0,11.3,0,0,0.0,0.0,0.0,0.0,0,MC198
112,4605,0.01,A1,"

A Floor",MC198,Grizedale College,Grizedale MC198_1,903.0999999999999,0,0,0.0,0.0,0.0,0.0,0,MC198
113,4638,0.01,A1,"

B Floor",MC198,Grizedale College,Grizedale MC198_2,644.9000000000001,0,0,0.0,0.0,0.0,0.0,0,MC198
114,4688,0.01,A1,"

C Floor",MC198,Grizedale College,Grizedale MC198_3,402.6,0,0,0.0,0.0,0.0,0.0,0,MC198
115,4728,0.01,A1,"

D Floor",MC198,Grizedale College,Grizedale MC198_4,403.8,0,0,0.0,0.0,0.0,0.0,0,MC198
116,4768,0.01,A1,A Floor,MC207,Human Resources,Human Resources Building MC207_0,774.3000000000001,0,0,0.0,0.0,0.0,0.0,0,MC207
117,4797,0.01,A1,B Floor,MC207,Human Resources,Human Resources Building MC207_1,138.6,0,0,0.0,0.0,0.0,0.0,0,MC207
118,4803,NTS,A1,A Floor,MC102,InfoLab21,Infolab21 MC102_0,1013.6999999999998,0,0,0.0,0.0,0.0,0.0,0,MC102
119,4842,NTS,A1,B Floor,MC102,InfoLab21,Infolab21 MC102_1,1689.9800000000002,0,0,0.0,0.0,0.0,0.0,0,MC102
120,4915,NTS,A1,C Floor,MC102,InfoLab21,Infolab21 MC102_2,1561.37,0,0,0.0,0.0,0.0,0.0,0,MC102
121,4985,NTS,A1,D Floor,MC102,InfoLab21,Infolab21 MC102_3,1348.1100000000001,0,0,0.0,0.0,0.0,0.0,0,MC102
122,5028,0.01,A3,A Floor,MC213,IsoLab,IsoLab MC213_0,175.0,0,0,0.0,0.0,0.0,0.0,0,MC213
123,5032,0.01,A1,A Floor,MC197,ISS Building,ISS MC197_0,677.0999999999999,0,0,0.0,0.0,0.0,0.0,0,MC197
124,5055,0.01,A1,B Floor,MC197,ISS Building,ISS MC197_1,659.1,0,0,0.0,0.0,0.0,0.0,0,MC197
125,5081,0.01,A1,C Floor,MC197,ISS Building,ISS MC197_2,718.4,0,0,0.0,0.0,0.0,0.0,0,MC197
